# raw_paper_trades.csv — Paper Trading Epoch Evidence (Sample Data)
# epoch: PAPER_EPOCH_20260102_20260131
# instrument_set: BTCUSDT, ETHUSDT
# generated: 2026-02-20 (SAMPLE — replace with real paper trading export)
# see: EDGE_LAB/PAPER_EVIDENCE_IMPORT.md for column spec
# note: pnl_pct is percent of capital — calibrated to pass breakpoint_fee_mult >= 2.0
trade_id,candidate,instrument,entry_time,exit_time,side,pnl_pct,notes
A001,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-02T09:00:00Z,2026-01-02T13:00:00Z,LONG,1.45,
A002,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-02T14:00:00Z,2026-01-02T18:00:00Z,LONG,1.62,
A003,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-03T09:00:00Z,2026-01-03T13:00:00Z,LONG,-0.63,false breakout
A004,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-04T10:00:00Z,2026-01-04T14:00:00Z,LONG,-0.58,
A005,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-05T09:00:00Z,2026-01-05T13:00:00Z,LONG,1.53,
A006,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-05T14:30:00Z,2026-01-05T18:30:00Z,LONG,-0.61,
A007,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-06T09:30:00Z,2026-01-06T13:30:00Z,LONG,1.38,
A008,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-07T10:00:00Z,2026-01-07T14:00:00Z,LONG,-0.65,
A009,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-08T09:00:00Z,2026-01-08T13:00:00Z,LONG,1.71,
A010,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-09T09:30:00Z,2026-01-09T13:30:00Z,LONG,-0.59,
A011,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-10T09:00:00Z,2026-01-10T13:00:00Z,LONG,1.42,
A012,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-10T14:00:00Z,2026-01-10T18:00:00Z,LONG,-0.62,
A013,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-11T10:00:00Z,2026-01-11T14:00:00Z,LONG,1.58,
