01|PASS|npm ci|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/01_npm_ci.log
02|PASS|npm run verify:specs|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/02_npm_run_verify_specs.log
03|PASS|npm run verify:specs|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/03_npm_run_verify_specs.log
04|PASS|npm run verify:paper|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/04_npm_run_verify_paper.log
05|PASS|npm run verify:paper|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/05_npm_run_verify_paper.log
06|PASS|npm run verify:e2|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/06_npm_run_verify_e2.log
07|PASS|npm run verify:e2|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/07_npm_run_verify_e2.log
08|PASS|npm run verify:e2:multi|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/08_npm_run_verify_e2_multi.log
09|PASS|npm run verify:paper:multi|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/09_npm_run_verify_paper_multi.log
10|PASS|npm run verify:phase2|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/10_npm_run_verify_phase2.log
11|PASS|npm run verify:integration|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/11_npm_run_verify_integration.log
12|PASS|npm run verify:core|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/12_npm_run_verify_core.log
13|PASS|npm run verify:epoch27|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/13_npm_run_verify_epoch27.log
14|PASS|npm run verify:epoch28|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/14_npm_run_verify_epoch28.log
15|PASS|npm run verify:epoch29|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/15_npm_run_verify_epoch29.log
16|PASS|npm run verify:clean-clone|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/16_npm_run_verify_clean_clone.log
17|PASS|npm run export:validated|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/17_npm_run_export_validated.log
18|PASS|npm run regen:manifests|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/18_npm_run_regen_manifests.log
19|PASS|sha256sum -c reports/evidence/EPOCH-30-CLOSEOUT-STRONG/SHA256SUMS.SOURCE.txt|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/19_sha256sum_c_reports_evidence_EPOCH_30_CLOSEOUT_STRONG_SHA256SUMS_SOURCE_txt.log
20|PASS|sha256sum -c reports/evidence/EPOCH-30-CLOSEOUT-STRONG/SHA256SUMS.EVIDENCE.txt|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/20_sha256sum_c_reports_evidence_EPOCH_30_CLOSEOUT_STRONG_SHA256SUMS_EVIDENCE_txt.log
21|PASS|sha256sum -c reports/evidence/EPOCH-30-CLOSEOUT-STRONG/SHA256SUMS.EXPORT.txt|reports/evidence/EPOCH-30-CLOSEOUT-STRONG/gates/21_sha256sum_c_reports_evidence_EPOCH_30_CLOSEOUT_STRONG_SHA256SUMS_EXPORT_txt.log
REQUIRED|PASS|npm run verify:specs
REQUIRED|PASS|npm run verify:paper
REQUIRED|PASS|npm run verify:e2
REQUIRED|PASS|npm run verify:e2:multi
REQUIRED|PASS|npm run verify:paper:multi
REQUIRED|PASS|npm run verify:phase2
REQUIRED|PASS|npm run verify:integration
REQUIRED|PASS|npm run verify:core
REQUIRED|PASS|npm run verify:clean-clone
REQUIRED|PASS|npm run export:validated
REQUIRED|PASS|npm run regen:manifests
REQUIRED|PASS|sha256sum -c 
